Airport Code,Airport Name,City Name,coordinates
434,HFF,Mackall AAF,Hoffman,"-40.2, -72.166667"
435,ZTE,Rochester NY Rail,Rochester,"49.916667, -0.966666999999999"
436,BRL,Burlington,Burlington,"40.783333, -91.116667"
437,CRW,Yeager,Charleston,"38.366667, -81.6"
438,UIZ,Berz-Macomb,Utica,"37.066667, 10.066667"
439,BED,Hanscom Field,Bedford/Hanscom,"42.466667, -71.283333"
440,SZN,Santa Cruz Island,Santa Barbara,"-0.883332999999999, -72.5"
441,HTO,East Hampton,East Hampton,"40.966667, -72.233333"
442,HAE,Havasupai,Havasupai,"36.230556, -112.669444"
443,MAF,Midland International,Midland,"31.9425, -102.201944"
444,BEH,Ross Field,Benton Harbor,"42.133333, -86.433333"
445,BUF,Buffalo Niagara International,"Buffalo, NY","42.940556, -78.732222"
446,NUQ,Moffett Field,Mountain View,"37.383333, -122.066667"
447,QMV,Montvale,Montvale,"43.866667, 1.6"
448,ESP,Birchwood-Pocono,East Stroudsburg,"41.0, -75.183333"
449,HFD,Brainard,Hartford,"41.766667, -72.683333"
450,OWK,Central Maine Airport of Norridgewock,Norridgewock,"44.716667, -69.8"
451,EWK,City-County,Newton,"38.05, -97.35"
452,CKE,Clear Lake,Clear Lake,"39.033333, -122.833333"
453,HSB,Raleigh,Harrisburg,"37.733333, -88.55"
454,MMT,Mc Entire ANG Base,Columbia,"-10.75, -67.866667"
455,SVA,Savoonga,Savoonga,"62.7, -170.466667"
456,SPI,Capital,Springfield,"39.85, -89.683333"
457,LXN,Lexington,Lexington,"40.783333, -99.75"
458,MPR,Mcpherson,Mcpherson,"38.35, -97.683333"
459,MDF,Medford,Medford,"45.15, -90.333333"
460,TTO,Municipal,Britton,"45.8, -97.75"
461,EKA,Murray Field,"Eureka, CA","40.803333, -124.112778"
462,TAL,Ralph Calhoun,Tanana,"-9.266667, 161.083333"
463,DLO,Dolomi,Dolomi,"55.133333, -132.051389"
464,CMY,Fort Mccoy,Sparta,"43.95, -90.783333"
465,LEM,Lemmon,Lemmon,"45.916667, -102.1"
466,JID,City Of Industry H/P,Los Angeles,"34.027222, -117.958333"
467,FPY,Perry-Foley,Perry,"30.116667, -83.583333"
468,COU,Columbia Regional,Columbia,"38.95, -92.333333"
469,GGE,Georgetown,Georgetown,"33.316667, -79.316667"
470,RRT,Warroad,Warroad,"-28.05, 117.533333"
471,BRW,Wiley Post/W.Rogers M,Barrow,"71.333333, -156.65"
472,CKA,Kegelman Af,Cherokee,"26.283333, -77.033333"
473,PFN,Bay County,Panama City,"30.216667, -85.683333"
474,CLR,Calipatria,Calipatria,"33.133333, -115.516667"
475,MCI,Kansas City International Airport,Kansas City,"39.291667, -94.730556"
476,MUI,Muir AAF,Fort Indiantown,"19.833333, -72.5"
477,WTC,World Trade Center,New York,"40.666667, -74.016667"
478,AET,Allakaket,Allakaket,"66.55, -152.65"
479,DIO,Diomede Island,Diomede Island,"65.75, -168.95"
480,ELW,Ellamar,Ellamar,"60.897222, -146.6125"
481,PSM,Pease International,"Portsmouth, NH","43.078056, -70.823333"
482,DAA,Davison AAF,Fort Belvoir,"38.716667, -77.183333"
483,RCA,Ellsworth Afb,Rapid City,"44.145, -103.103611"
484,IAG,International,Niagara Falls,"43.1, -79.033333"
485,MIB,Minot AFB,Minot,"47.666667, 4.866667"
486,NPH,Nephi,Nephi,"39.738889, -111.870833"
487,ZVE,New Haven Rail,New Haven,"6.083333, -58.133333"
488,BDX,Broadus,Broadus,"45.45, -105.416667"
489,LBB,International,Lubbock,"33.666667, -101.833333"
490,SBD,Norton Afb,San Bernardino,"34.095278, -117.235"
491,BCB,Virginia Tech,Blacksburg,"37.233333, -80.416667"
492,BML,Berlin Municipal Airport,Berlin,"44.575278, -71.175833"
493,GCC,Campbell County,Gillette,"44.35, -105.533333"
494,MPO,Mt Pocono,Mt Pocono,"41.133333, -75.366667"
495,ZGD,New London Rail,Groton,"-8.735278, 125.352222"
496,TPA,Tampa International,Tampa,"27.975556, -82.533056"
497,TOA,Torrance Airport,Torrance,"33.805, -118.343889"
498,TDO,Winlock,Toledo,"6.533333, -75.783333"
499,VAK,Chevak,Chevak,"61.528611, -165.590278"
500,FTK,Godman AAF,Fort Knox,"19.833333, -72.5"
501,FAM,Regional,Farmington,"37.673333, -90.233889"
502,SOV,Seldovia,Seldovia,"59.45, -151.7"
503,DNL,Daniel Field,"Augusta, GA","33.466389, -82.039444"
504,KZB,Zachar Bay SPB,Zachar Bay,"57.55, -153.75"
505,HVS,Municipal,Hartsville,"34.4, -80.116667"
506,CHO,Albemarle,Charlottesville,"38.133333, -78.45"
507,NES,East 34th St Landing,New York,"5.5, -70.483333"
508,LKV,Lake County,Lakeview,"42.166667, -120.4"
509,MIO,Miami,Miami,"10.016667, -73.65"
510,HYR,Municipal,Hayward,"46.033333, -91.45"
511,BCJ,Baca Grande,Baca Grande,"37.966667, -105.766667"
512,PSC,Tri-cities,"Pasco, WA","46.264722, -119.119167"
513,CBE,Wiley Ford,Cumberland,"39.6, -78.766667"
514,GDM,Municipal,Gardner,"42.566667, -72.0"
515,UQE,Queen,Queen,"58.883333, -158.5"
516,AHC,Amedee AAF,Herlong,"60.572222, 4.951667"
517,PSP,Municipal,Palm Springs,"33.833333, -116.5"
518,EED,Needles,Needles,"34.85, -114.616667"
519,FST,Pecos County,Fort Stockton,"30.916667, -102.916667"
520,SSC,Shaw AFB,Sumter,"53.283333, 10.9"
521,ESC,Delta County Arpt,Escanaba,"45.722778, -87.093611"
522,VPS,Eglin AFB,"Valparaiso, FL","30.483333, -86.525278"
523,CSM,Sherman,Clinton,"35.516667, -98.983333"
524,MHN,Mullen,Mullen,"42.05, -101.066667"
525,HUL,International,Houlton,"46.133333, -67.8"
526,SNK,Winston Field,Snyder,"32.7, -100.95"
527,RBL,Red Bluff Fss,Red Bluff,"40.15, -122.25"
528,CZO,Chistochina,Chistochina,"62.566667, -144.666667"
529,HAO,Hamilton,Hamilton,"39.433333, -84.5"
530,HUF,Hulman Field,Terre Haute,"10.733333, -61.35"
531,AHF,Municipal,Arapahoe,"15.316667, -88.883333"
532,VEL,Vernal,"Vernal, UT","40.45, -109.516667"
533,BOF,Bolling AFB,Washington,"49.0, -72.5"
534,JPD,Heliport,Pasadena,"34.133333, -118.133333"
535,EOK,Keokuk,Keokuk,"40.466667, -91.433333"
536,JNH,North Park Inn H/P,Dallas,"7.716667, 40.916667"
537,NSF,Andrews NAF,Camp Springs,"19.35, 100.55"
538,CCB,Cable Airport,"Upland, CA","34.111667, -117.6875"
539,LZU,Gwinnett County Airport,Lawrenceville,"33.978056, -83.9625"
540,MNN,Municipal,Marion,"40.616667, -83.066667"
541,SVS,Stevens Village,Stevens Village,"66.033333, -149.1"
542,ACV,Arcata,Arcata,"40.983333, -124.1"
543,FDR,Municipal,Frederick,"34.35, -98.983333"
544,GUS,Grissom Afb,"Peru, Indiana","40.648056, -86.152222"
545,CAE,Metropolitan Airport,"Columbia, SC","33.95, -81.116667"
546,HKA,Municipal,Blytheville,"35.933333, -89.916667"
547,THM,Thompsonfield,Thompsonfield,"50.233333, -1.566666999999999"
548,XPU,West Kuparuk,West Kuparuk,"70.333333, -149.333333"
549,CHL,Challis,Challis,"44.5, -114.233333"
550,ASE,Aspen,Aspen,"39.223056, -106.868889"
551,SUO,Sun River,Sun River,"-0.533333, -88.55"
552,OCW,Warren Field,Washington,"35.55, -77.05"
553,TOP,Philip Billard,Topeka,"-13.35, 32.766667"
554,UKN,Municipal,Waukon,"43.266667, -91.483333"
555,PTW,Pottstown/Limerick,Pottstown,"40.233333, -75.65"
556,PRC,Prescott,Prescott,"34.65, -112.416667"
557,IMT,Ford,Iron Mountain,"45.816667, -88.116667"
558,ARV,Noble F. Lee,Minocqua,"45.916667, -89.733333"
559,PSN,Palestine Municipal Airport,"Palestine, TX","31.779722, -95.706389"
560,SLJ,Stellar Air Park,Chandler,"33.319444, -111.9"
561,SER,Freeman Municipal,Seymour,"38.95, -85.883333"
562,FMS,Municipal,Fort Madison,"40.65, -91.316667"
563,JMN,Municipal Heliport,Mankato,"44.168889, -93.995"
564,CLI,Clintonville,Clintonville,"43.6, -81.533333"
565,ZRK,VanGalder Bus Termina,Rockford,"-32.85, 24.166667"
566,CHI,Chicago FSS,Chicago,"41.883056, -87.766111"
567,SUN,Sun Valley,Sun Valley,"43.5, -114.316667"
568,RIR,Riverside Fla-Bob,Riverside,"-29.666667, 30.016667"
569,ZUA,Utica NNY Rail,Utica,"37.066667, 10.066667"
570,VCB,View Cove,View Cove,"55.080556, -133.016667"
571,CHS,"Charleston, AFB Municipal","Charleston, SC","32.898611, -80.040556"
572,EUE,Eureka,Eureka,"39.516667, -115.966667"
573,KXA,Kasaan SPB,Kasaan,"55.5, -132.5"
574,UMT,Umiat,Umiat,"69.366667, -152.133333"
575,YNG,Youngstown,Youngstown,"41.266667, -80.666667"
576,SNL,Municipal,Shawnee,"35.316667, -96.916667"
577,EGE,Eagle County,Vail/Eagle,"39.633333, -106.916667"
578,RNO,Reno-Tahoe International,"Reno, NV","39.499167, -119.768056"
579,CNW,TSTC Waco Airport,"Waco, TX","31.637778, -97.074167"
580,CZP,Cape Pole,Cape Pole,"55.966667, -133.783333"
581,ENA,Kenai,Kenai,"60.55, -151.266667"
582,SES,Selfield,Selma,"32.45, -86.95"
583,ANN,Annette Island,Annette Island,"55.033333, -131.566667"
584,EDF,Elmendorf Afb,Anchorage,"61.251389, -149.806389"
585,AXS,Municipal,Altus,"34.702778, -99.333333"
586,UIN,Municipal,Quincy,"39.933333, -91.183333"
587,VNY,Van Nuys,"Los Angeles, CA","34.209722, -118.49"
588,GBO,Baltimore Greenbelt T,Baltimore,"39.186111, -76.683333"
589,MEJ,Meadville,Meadville,"41.619444, -80.2"
590,DTR,Decatur Island,Decatur Island,"42.218611, -83.348333"
591,TBN,Forney AAF,Fort Leonard Wood,"37.733333, -92.15"
592,LNS,Lancaster,Lancaster,"40.116667, -76.3"
593,LTW,St Marys County,Leonardtown,"38.283333, -77.633333"
594,VOK,Volk Field,Camp Douglas,"43.916667, -90.266667"
595,YIP,Willow Run,"Detroit, MI","42.25, -83.383333"
596,BBX,Wings Field,Blue Bell,"40.15, -75.266667"
597,ZRV,Providence Rail,Providence,"4.616667, -54.4"
598,DTH,Death Valley,Death Valley,"36.452222, -116.869167"
599,COI,Merritt Island,Cocoa,"28.133333, -80.633333"
600,OTO,Vor,Otto,"35.072222, -105.935556"
601,BDG,Blanding,Blanding,"37.583333, -109.483333"
602,VNC,Venice Municipal,"Venice, FL","27.071667, -82.440278"
603,LHV,W T Piper Memorial,Lock Haven,"41.133333, -77.45"
604,ISL,Isabel Pass,Isabel Pass,"63.5, -145.033333"
605,PNC,Ponca City,Ponca City,"36.733333, -97.1"
606,TBR,Statesboro-Bulloch County Airport,"Statesboro, GA","32.482778, -81.736944"
607,NGU,Nas Chambers,Norfolk,"36.937778, -76.289444"
608,ESF,Esler Field,Alexandria,"31.4, -92.3"
609,AFW,Fort Worth Alliance,"Fort Worth, TX","32.987778, -97.318889"
610,COP,Cooperstown - Westville Airport,"Cooperstown, NY","42.629167, -74.891111"
611,DHT,Dalhart,Dalhart,"12.186111, 42.89"
612,GLH,Greenville,Greenville,"33.477222, -90.985"
613,NEW,Lakefront,New Orleans,"30.049444, -90.028889"
614,QWP,Van Service,Winter Park,"11.033333, 3.65"
615,BCE,Bryce,Bryce,"37.7, -112.15"
616,YKN,Chan Gurney,Yankton,"42.916667, -97.383333"
617,EXI,SPB,Excursion Inlet,"58.416667, -135.433333"
618,BYH,Blytheville AFB,Blytheville,"-13.25, 130.7"
619,MHT,Manchester-boston Regional Airport,"Manchester, NH","42.9325, -71.435556"
620,BLU,Blue Canyon,Blue Canyon,"51.181111, -3.401389"
621,BGD,Borger,Borger,"35.65, -101.4"
622,PDK,Dekalb-Peachtree,"Atlanta, GA","33.875556, -84.301944"
623,WDG,Enid Woodring Mun.,Enid,"36.383333, -97.783333"
624,NVD,Nevada,Nevada,"37.85, -94.3"
625,HRL,Valley International,Harlingen,"26.2, -97.75"
626,WKL,Waikoloa Airport,Waikoloa,"19.916667, -155.866667"
627,CAK,Akron/canton Regional,"Akron/Canton, OH","40.916111, -81.442222"
628,LNI,Dew Station,Lonely,"70.916667, -153.25"
629,SKW,Intermediate,Skwentna,"61.95, -151.2"
630,FFO,Patterson Afb,Dayton,"39.826111, -84.048333"
631,TKE,Tenakee SPB,Tenakee Springs,"43.286389, 18.933056"
632,BTL,WK Kellogg Regional,Battle Creek,"42.3, -85.25"
633,BSF,Bradshaw AAF,Pohakuloa,"66.15, 25.866667"
634,FOX,Fox,Fox,"64.85, -147.766667"
635,THP,Hot Springs,Thermopolis,"40.9, 23.55"
636,KYU,Koyukuk,Koyukuk,"64.9, -157.7"
637,NOL,Nakolik River,Nakolik River,"50.483333, 21.45"
638,ZSF,Springfield MA RR,Springfield,"44.633333, -64.85"
639,DCK,Dahl Creek Arpt,Dahl Creek,"66.933333, -156.9"
640,OTN,Green,Oaktown,"38.866667, -87.433333"
641,SEG,Penn Valley,Selinsgrove,"40.783333, -76.85"
642,DGW,Converse County,Douglas,"42.75, -105.4"
643,KKA,Koyuk,Koyuk,"64.916667, -161.133333"
644,LGD,La Grande,La Grande,"45.316667, -118.033333"
645,LEE,Leesburg,Leesburg,"28.833333, -81.816667"
646,OVE,Oroville,Oroville,"39.483333, -121.633333"
647,WWR,West Woodward,Woodward,"36.433333, -99.516667"
648,ADK,Adak Island Ns,Adak Island,"51.878056, -176.646111"
649,EEN,Dillant-Hopkins,Keene,"42.9, -72.266667"
650,AVO,Municipal,Avon Park,"27.6, -81.516667"
651,FDK,Frederick Municipal,Frederick,"39.4175, -77.374444"
652,PKF,Park Falls,Park Falls,"45.933333, -90.433333"
653,PTC,Port Alice,Port Alice,"55.791667, -133.6"
654,DVL,Devils Lake,Devils Lake,"48.116667, -98.9"
655,TRH,Trona,Trona,"35.8125, -117.327222"
656,ZPH,Zephyrhills,Zephyrhills,"28.233333, -82.166667"
657,EVA,Landing Strip,Evadale,"30.35, -94.066667"
658,PTT,Pratt,Pratt,"37.7, -98.75"
659,CKD,Crooked Creek,Crooked Creek,"61.866667, -158.133333"
660,DET,Detroit City,"Detroit, MI","42.409167, -83.009722"
661,OCE,Municipal,Ocean City,"38.316667, -75.116667"
662,PPV,Port Protection,Port Protection,"56.333333, -133.666667"
663,APN,Alpena County Regional,Alpena,"45.083333, -83.55"
664,TSG,Intermediate,Tanacross,"45.228056, 18.073333"
665,RDV,Red Devil,Red Devil,"61.833333, -157.333333"
666,OCF,Taylor Field,Ocala,"29.166667, -82.216667"
667,MGM,Dannelly Fld,Montgomery,"32.3, -86.4"
668,WCR,Chandalar,Chandalar,"67.5, -148.5"
669,CHA,Lovell Field,"Chattanooga,TN","35.035278, -85.203889"
670,XPR,Pine Ridge,Pine Ridge,"43.016667, -102.516667"
671,MQY,Smyrna,Smyrna,"35.983333, -86.516667"
672,AYZ,Zahns,Amityville,"40.666667, -73.416667"
673,SRU,Skypark,Santa Cruz,"2.166667, -76.1"
674,ZNC,Nyac,Nyac,"60.983333, -159.983333"
675,SME,Pulaski County,Somerset,"37.083333, -84.6"
676,RNC,Warren County,Mcminnville,"-24.016667, 132.25"
677,PMB,Intermediate,Pembina,"48.95, -97.233333"
678,OCI,Oceanic,Oceanic,"60.1, -148.216667"
679,PTU,Platinum,Platinum,"59.016667, -161.816667"
680,SHV,Regional,Shreveport,"32.45, -93.816667"
681,MSS,Richards Field,Massena,"44.933333, -74.85"
682,KCR,Colorado Creek,Colorado Creek,"-17.2, 129.366667"
683,FFL,Municipal,Fairfield,"40.933333, -91.95"
684,LNP,Wise,Wise,"36.983333, -82.566667"
685,ORF,Norfolk International Airport,Norfolk,"36.9, -76.2"
686,OWA,Owatonna,Owatonna,"44.116667, -93.25"
687,PIR,Pierre,Pierre,"44.383333, -100.283333"
688,SCF,Scottsdale Municipal,Phoenix,"33.5, -111.933333"
689,ESO,Espanola,Espanola,"36.1, -106.033333"
690,FLO,Florence,Florence,"34.183333, -79.716667"
691,MSL,Sheffield,Sheffield,"34.75, -87.616667"
692,JAX,"Jacksonville,","Jacksonville, FL","30.416667, -81.633333"
693,OLM,Olympia,Olympia,"46.966667, -122.9"
694,MXY,Mccarthy,Mccarthy,"61.416667, -142.916667"
695,CHK,Municipal,Chickasha,"35.033333, -97.966667"
696,ETS,Municipal,Enterprise,"31.316667, -85.85"
697,NIB,Nikolai,Nikolai,"63.016667, -154.383333"
698,CIB,Ap In The Sky,Catalina Island,"33.416389, -118.416389"
699,PLN,Emmet County,Pellston,"45.566667, -84.8"
700,JLB,Heliport,Long Beach,"-53.2, 73.483333"
701,SJT,Mathis Fld,San Angelo,"31.357778, -100.496389"
702,MRC,Maury County,Columbia,"-10.75, -67.866667"
703,AUZ,Municipal Airport,Aurora,"41.766667, -88.316667"
704,ARA,Acadiana Regional,New Iberia,"80.133333, 32.583333"
705,AOH,Allen County,Lima,"40.716667, -84.033333"
706,JDT,Downtown Heliport,Minneapolis,"8.316667, 40.033333"
707,CAR,Municipal,Caribou,"46.866667, -68.016667"
708,PTH,Port Heiden,Port Heiden,"56.966667, -158.633333"
709,MHR,Sacramento Mather Airport,"Sacramento, CA","38.555278, -121.297222"
710,EWN,Simmons Nott,New Bern,"35.066667, -77.05"
711,PIM,Garden Harris County,Pine Mountain,"32.833333, -84.85"
712,CCY,Municipal,Charles City,"43.066667, -92.666667"
713,INT,Smith-Reynolds,Winston Salem,"36.133333, -80.219444"
714,ENV,Wendover,Wendover,"40.733333, -114.033333"
715,JRE,East 60th Street H/P,New York,"40.8, -73.966667"
716,SHH,Shishmaref,Shishmaref,"66.25, -166.05"
717,LSD,Blue Grass Station Army Heliport,"Lexington, KY","38.083333, -84.316667"
718,CDC,Cedar City,Cedar City,"37.7, -113.1"
719,NNK,Naknek,Naknek,"58.75, -156.533333"
720,BTR,Ryan,Baton Rouge,"30.533333, -91.15"
721,FRR,Front Royal-Warren County,"Front Royal,","38.9175, -78.253611"
722,JCY,Johnson,Johnson,"32.333333, -97.333333"
723,DTL,Municipal,Detroit Lakes,"46.833333, -95.883333"
724,AED,Aleneva,Aleneva,"-0.6000000000000001, 10.083333"
725,BIS,Bismarck,Bismarck,"46.783333, -100.75"
726,EFD,Ellington Field,Houston,"29.602778, -95.152778"
727,LAM,Los Alamos,Los Alamos,"35.883333, -106.316667"
728,HLM,Park Township,Holland,"42.783333, -86.116667"
729,ANW,Ainsworth,Ainsworth,"42.583333, -99.983333"
730,CNO,Chino,Chino,"34.016667, -117.7"
731,JDB,Downtown Heliport,Dallas,"32.766667, -97.316667"
732,SWF,Stewart,Newburgh,"41.5, -74.016667"
733,TVC,Cherry Capital Airport,Traverse City,"44.741389, -85.582222"
734,CIU,Chippewa County,Sault Ste Marie,"46.25, -84.466667"
735,HSH,Henderson Sky Harbor,Las Vegas,"35.968333, -115.119167"
736,GKT,Gatlinburg,Gatlinburg,"31.353611, -84.375"
737,HOL,Holikachu,Holikachu,"62.9, -159.516667"
738,LOR,Lowe Army Heliport,Ozark,"53.116667, 22.45"
739,ECS,Mondell,Newcastle,"43.883333, -104.316667"
740,RKC,Yreka,Yreka,"41.733333, -122.633333"
741,GFA,Malmstrom AFB,Great Falls,"27.083333, -77.0"
742,APG,Phillips AAF,Aberdeen,"52.316667, -1.283333"
743,HMT,Ryan Field,Hemet,"33.75, -116.966667"
744,TDW,Tradewind,Amarillo,"35.166667, -101.833333"
745,UOX,University-Oxford,Oxford,"34.383333, -89.533333"
746,UCE,Eunice,Eunice,"30.5, -92.416667"
747,FLD,Fond Du Lac,Fond Du Lac,"43.766667, -88.483333"
748,SLT,Salida,Salida,"38.55, -106.033333"
749,BWI,Baltimore/Washington International Thurgood Marshall,"Baltimore, MD","39.175278, -76.668333"
750,DEN,Denver International,Denver,"39.861667, -104.673056"
751,CEZ,Montezuma County,Cortez,"37.316667, -108.633333"
752,CYE,Crystal Lake,Crystal Lake,"41.210278, -75.832222"
753,NKI,Naukiti,Naukiti,"55.855556, -133.183333"
754,ORL,Orlando Executive,Orlando,"28.533333, -81.35"
755,SEM,Craig AFB,Selma,"-12.2, 96.916667"
756,MLC,Mc Alester,Mc Alester,"34.883333, -95.783333"
757,WLD,Arkansas City,Winfield,"37.166667, -97.05"
758,MOR,Moore-Murrell,Morristown,"36.183333, -83.366667"
759,SFZ,North Central,"Pawtucket, RI","41.920833, -71.491389"
760,MIF,Roy Hurd Memorial,Monahans,"31.6, -102.9"
761,CKX,Chicken,Chicken,"64.083333, -141.916667"
762,SCH,Schenectady County,"Schenectady, NY","42.8525, -73.928889"
763,TNC,Tin City Afs,"Tin City, AK","65.563056, -167.921667"
764,HED,Herendeen,Herendeen,"55.8, -160.9"
765,DRU,Drummond,Drummond,"46.616667, -113.2"
766,SKJ,Sitkinak Cgs,Sitkinak Island,"56.533333, -154.133333"
767,ERV,Kerrville,Kerrville,"29.983333, -99.083333"
768,DRO,La Plata,Durango,"37.15, -107.75"
769,IJX,Municipal,Jacksonville,"39.766667, -90.233333"
770,HIO,Portland,Hillsboro,"45.516667, -122.983333"
771,BVO,Bartlesville,Bartlesville,"36.766667, -96.0"
772,KGZ,Glacier Creek,Glacier Creek,"61.45, -142.4"
773,RME,Griffiss AFB,"Rome, NY","43.233889, -75.406944"
774,LHM,Lincoln Regional Airport,"Lincoln, CA","38.909167, -121.351389"
775,FNT,Bishop International Airport,Flint,"42.965556, -83.743611"
776,PRT,Coast Guard Heliport,Point Retreat,"47.533333, 12.516667"
777,AXX,Angel Fire,Angel Fire,"36.416667, -105.283333"
778,SPQ,Catalina SPB,San Pedro,"33.75, -118.366667"
779,GUN,Gunter AFB,Montgomery,"51.066667, -1.166667"
780,OEA,Oneal,Vincennes,"38.666667, -87.516667"
781,RCT,Miller Field,Reed City,"43.9, -85.516667"
782,CBK,Municipal,Colby,"39.416667, -101.05"
783,OCA,Ocean Reef,Ocean Reef,"25.366667, -80.266667"
784,CHZ,State,Chiloquin,"42.583333, -121.866667"
785,FIC,Fire Cove,Fire Cove,"55.777778, -131.5375"
786,CRE,Grand Strand Airport,Myrtle Beach,"33.811667, -78.723889"
787,HMS,Homeshore,Homeshore AK,"58.294444, -135.347222"
788,UUK,Kuparuk,Kuparuk,"70.416667, -148.916667"
789,MLB,Melbourne International Airport,Melbourne,"28.1, -80.633333"
790,IRB,Municipal,Iraan,"30.9, -101.9"
791,BRG,Municipal,Whitesburg,"37.116667, -82.816667"
792,ASY,Ashley,Ashley,"46.033333, -99.366667"
793,BXC,Boxborough,Boxborough,"42.483611, -71.535278"
794,LRD,International,Laredo,"27.533333, -99.466667"
795,KEU,Kelly Bar,Kelly Bar,"50.6, -4.266667"
796,CLD,Mc Clellan-Palomar Airport,"Carlsbad, CA","33.116667, -117.266667"
797,PMX,Metropolitan,Palmer,"42.15, -72.316667"
798,ZML,Milwaukee General Mitchell,"Milwaukee,","32.466667, 171.916667"
799,MGW,Morgantown,Morgantown,"39.633333, -79.916667"
800,SCK,Stockton Metropolitan Airport,Stockton,"37.9, -121.25"
801,PAQ,Municipal,Palmer,"61.6, -149.116667"
802,JSD,Sikorsky Heliport,"Stratford, CT","41.249167, -73.096667"
803,CIK,Chalkyitsik,Chalkyitsik,"66.65, -143.75"
804,LPW,Little Port Walter,Little Port Walter,"56.383333, -134.833333"
805,LQK,Pickens,Pickens,"34.816667, -82.7"
806,BSZ,Bartletts,Bartletts,"58.266667, -157.483333"
807,CLT,Charlotte Douglas,Charlotte,"35.216667, -80.933333"
808,HOM,Homer,Homer,"59.633333, -151.5"
809,CTO,Peconic River,Calverton,"40.916667, -72.75"
810,PLR,St Clair County,Pell City,"33.583333, -86.283333"
811,LRF,Little Rock Afb,Jacksonville,"34.918056, -92.146389"
812,WVL,Robert Lafleur,Waterville,"44.533333, -69.666667"
813,LAX,Los Angeles International,Los Angeles,"33.9425, -118.407222"
814,PEC,Pelican SPB,Pelican,"57.95, -136.233333"
815,RST,International,Rochester,"43.908333, -92.5"
816,CGI,Cape Girardeau,Cape Girardeau,"37.216667, -89.566667"
817,ATE,Antlers,Antlers,"34.233333, -95.616667"
818,CCR,Buchanan Fld,Concord,"37.983333, -122.052778"
819,BNW,Boone,Boone,"42.066667, -93.883333"
820,PMD,La Palmdale Regional Airport,"Palmdale, CA","34.629444, -118.084444"
821,ELA,Eagle Lake,Eagle Lake,"29.583333, -96.333333"
822,PGR,Municipal,Paragould,"36.05, -90.5"
823,KPC,Port Clarence,Port Clarence,"65.25, -166.85"
824,ALO,Waterloo,Waterloo,"42.55, -92.383333"
825,BGE,Decatur County,Bainbridge,"30.9, -84.6"
826,DUT,Emergency Field,Dutch Harbor,"53.9, -166.533333"
827,FAY,Municipal,Fayetteville,"35.0, -78.883333"
828,OLY,Olney-Noble,Olney,"38.716667, -88.083333"
829,WSJ,San Juan SPB,San Juan,"57.733333, -153.3"
830,PCK,Porcupine Creek,Porcupine Creek,"67.25, -150.283333"
831,ILL,Willmar,Willmar,"45.116667, -95.1"
832,MLS,Municipal,Miles City,"46.433333, -105.883333"
833,ONN,Onion Bay,Onion Bay,"58.233333, -152.833333"
834,SNS,Salinas,Salinas,"36.666667, -121.616667"
835,SEF,Sebring Regional Airport,"Sebring, Fl","27.456389, -81.3425"
836,GPT,Gulfport-Biloxi International,Gulfport,"30.4, -89.066667"
837,IPT,Lycoming County,Williamsport,"41.25, -76.916667"
838,KOY,Olga Bay SPB,Olga Bay,"57.15, -154.233333"
839,PDB,Pedro Bay,Pedro Bay,"59.783333, -154.116667"
840,PUC,Carbon County,Price,"39.602778, -110.75"
841,LLX,Lyndonville,Lyndonville,"44.5, -72.016667"
842,CLP,Clarks Point,Clarks Point,"58.85, -158.5"
843,EPG,Browns,Weeping Water,"40.866667, -96.133333"
844,ABQ,Albuquerque International,Albuquerque,"35.040278, -106.609167"
845,NCQ,Atlanta Nas,"Marietta, GA","34.351111, -84.287222"
846,CEA,Cessna Aircraft Field,Wichita,"15.658889, 101.1125"
847,HIK,Hickam AFB,Honolulu,"21.316111, -157.926667"
848,HVN,New Haven,New Haven,"41.266667, -72.883333"
849,TKF,Truckee-Tahoe,"Truckee, CA","39.32, -120.139444"
850,BFP,Beaver Falls,Beaver Falls,"40.766667, -80.4"
851,SVH,Municipal,Statesville,"35.766667, -80.95"
852,DUF,Pine Island Airport,"Corolla, NC","36.253611, -75.788611"
853,AMA,Rick Husband Amarillo International,"Amarillo, TX","35.226389, -101.705833"
854,GEY,South Big Horn County,Greybull,"44.516667, -108.083333"
855,DWH,David Wayne Hooks,Houston,"30.061944, -95.552778"
856,HUS,Municipal,Hughes,"66.033333, -154.233333"
857,HAI,Dr Haines,Three Rivers,"6.0, -9.75"
858,OOA,Municipal,Oskaloosa,"41.283333, -92.633333"
859,MPB,SPB,Miami,"25.775, -80.175"
860,WLM,Waltham,Waltham,"42.385278, -71.251389"
861,ZUG,Harrisburg Rail,Harrisburg,"34.251389, 36.009722"
862,MNT,Minto,Minto,"64.9, -149.166667"
863,NUP,Nunapitchuk,Nunapitchuk,"60.883333, -162.466667"
864,ATW,Outagamie County,Appleton,"44.266667, -88.516667"
865,SNP,Saint Paul Island,Saint Paul Island,"57.166667, -170.216667"
866,CTZ,Sampson County,Clinton,"35.0, -78.333333"
867,TNK,Tununak,Tununak,"72.033333, -80.916667"
868,LGU,Cache,Logan,"41.783333, -111.85"
869,WSM,Wiseman,Wiseman,"67.416667, -150.116667"
870,CVN,Municipal,Clovis,"34.416667, -103.083333"
871,WLW,Glenn County,Willows,"39.516667, -122.216667"
872,PWM,Intl Jetport,Portland,"43.65, -70.3"
